rt,response,trial_type,trial_index,time_elapsed,internal_node_id,condition,correct,stimulus,success,timeout,failed_images,failed_audio,failed_video,question_order,accuracy,participant_id,ctime
NA,NA,preload,4,71986,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
4487,0,html-button-response,5,76474,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
73175.69999998808,"{""stimFIRST"":100,""stimSECOND"":0}",multiple-slider,6,149651,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
27522,"{""P0_Q0"":null,""age"":""42"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,7,177227,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who loves animals, volunteered at the pet shelter before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley volunteered at the pet shelter before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley volunteered at the pet shelter before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-know-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],daf747e3-5bc4-4131-8269-e00022250631,2025-11-16 12:11:53 CET
21745,"{""Q0"":""Linda""}",survey-text,0,21764,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,2e08ed05-aed1-41a5-b9d6-7a985e465d6f,2025-11-16 12:17:17 CET
7654,0,html-button-response,1,29420,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,2e08ed05-aed1-41a5-b9d6-7a985e465d6f,2025-11-16 12:17:17 CET
NA,NA,preload,2,31018,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,2e08ed05-aed1-41a5-b9d6-7a985e465d6f,2025-11-16 12:17:17 CET
63744,0,html-button-response,3,94763,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,2e08ed05-aed1-41a5-b9d6-7a985e465d6f,2025-11-16 12:17:17 CET
168443.60000000894,"{""stimFIRST"":100,""stimSECOND"":0}",multiple-slider,4,263211,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,2e08ed05-aed1-41a5-b9d6-7a985e465d6f,2025-11-16 12:17:17 CET
38230,"{""P0_Q0"":null,""age"":""52"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,5,301499,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],2e08ed05-aed1-41a5-b9d6-7a985e465d6f,2025-11-16 12:17:17 CET
26614,"{""Q0"":""Mary""}",survey-text,0,26696,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,795cc1c3-2fb0-4633-83ae-1ed43e6085f8,2025-11-16 12:22:17 CET
2725,0,html-button-response,1,29425,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,795cc1c3-2fb0-4633-83ae-1ed43e6085f8,2025-11-16 12:22:17 CET
NA,NA,preload,2,34162,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,795cc1c3-2fb0-4633-83ae-1ed43e6085f8,2025-11-16 12:22:17 CET
105241,0,html-button-response,3,139404,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,795cc1c3-2fb0-4633-83ae-1ed43e6085f8,2025-11-16 12:22:17 CET
247689.19999998808,"{""stimFIRST"":80,""stimSECOND"":72}",multiple-slider,4,387096,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,795cc1c3-2fb0-4633-83ae-1ed43e6085f8,2025-11-16 12:22:17 CET
52702,"{""P0_Q0"":null,""age"":""32"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""No comments""}",survey,5,439937,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],795cc1c3-2fb0-4633-83ae-1ed43e6085f8,2025-11-16 12:22:17 CET
11414,"{""Q0"":""Jessica""}",survey-text,0,11433,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>AFTER</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop taking the subway to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""qud"":""nai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-nai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,cf70a2b6-2f14-47e5-84aa-2d5e4654ca0d,2025-11-16 12:26:34 CET
