rt,response,trial_type,trial_index,time_elapsed,internal_node_id,condition,correct,stimulus,success,timeout,failed_images,failed_audio,failed_video,question_order,accuracy,participant_id,ctime
34074,"{""stimFIRST"":78,""stimSECOND"":19}",multiple-slider,4,53533,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,8b320f8a-2749-4fef-bcde-ca83092de305,2025-11-17 12:25:37 CET
14346,"{""P0_Q0"":null,""age"":""48"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,5,67914,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],8b320f8a-2749-4fef-bcde-ca83092de305,2025-11-17 12:25:37 CET
17989,"{""Q0"":""Susan""}",survey-text,0,18005,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,79f82514-1a82-4994-ba03-279ae719e572,2025-11-17 12:26:23 CET
2398,0,html-button-response,1,20405,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,79f82514-1a82-4994-ba03-279ae719e572,2025-11-17 12:26:23 CET
NA,NA,preload,2,21223,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,79f82514-1a82-4994-ba03-279ae719e572,2025-11-17 12:26:23 CET
16765,0,html-button-response,3,37988,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,79f82514-1a82-4994-ba03-279ae719e572,2025-11-17 12:26:23 CET
79118.19999998808,"{""stimFIRST"":100,""stimSECOND"":0}",multiple-slider,4,117108,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,79f82514-1a82-4994-ba03-279ae719e572,2025-11-17 12:26:23 CET
29723,"{""P0_Q0"":null,""age"":""54"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,5,146881,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],79f82514-1a82-4994-ba03-279ae719e572,2025-11-17 12:26:23 CET
9785,"{""Q0"":""Sarah""}",survey-text,0,9789,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop volunteering at the pet shelter when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6013d261-f057-441b-a007-3a1f53be1fd3,2025-11-17 12:26:36 CET
1332,0,html-button-response,1,11123,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop volunteering at the pet shelter when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,6013d261-f057-441b-a007-3a1f53be1fd3,2025-11-17 12:26:36 CET
NA,NA,preload,2,11769,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop volunteering at the pet shelter when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,6013d261-f057-441b-a007-3a1f53be1fd3,2025-11-17 12:26:36 CET
2671,0,html-button-response,3,14442,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop volunteering at the pet shelter when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,6013d261-f057-441b-a007-3a1f53be1fd3,2025-11-17 12:26:36 CET
33800,"{""stimFIRST"":66,""stimSECOND"":31}",multiple-slider,4,48244,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop volunteering at the pet shelter when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,6013d261-f057-441b-a007-3a1f53be1fd3,2025-11-17 12:26:36 CET
20543,"{""P0_Q0"":null,""age"":""25"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""n/a""}",survey,5,68816,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop volunteering at the pet shelter when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],6013d261-f057-441b-a007-3a1f53be1fd3,2025-11-17 12:26:36 CET
12025,"{""Q0"":""Sarah""}",survey-text,0,12078,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who is a climate activist, took the subway to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley took the subway to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley took the subway to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-know-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,e4f8435e-5533-427c-8990-2b2cdb5ce9cd,2025-11-17 12:26:50 CET
2264,0,html-button-response,1,14344,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who is a climate activist, took the subway to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley took the subway to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley took the subway to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-know-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,e4f8435e-5533-427c-8990-2b2cdb5ce9cd,2025-11-17 12:26:50 CET
NA,NA,preload,2,17816,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether <b>CHARLEY</b>, who is a climate activist, took the subway to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley took the subway to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Sue believes that Charley took the subway to work before he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-know-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,e4f8435e-5533-427c-8990-2b2cdb5ce9cd,2025-11-17 12:26:50 CET
